date,ticker,close_usd
2026-07-17,MARA,10.69
2026-07-17,CLSK,13.03
2026-07-17,RIOT,18.26
2026-07-17,IREN,33.62
2026-07-17,BTDR,10.74
2026-07-17,CORZ,20.94
2026-07-17,HIVE,2.85
2026-07-17,WULF,18.16
2026-07-17,CIFR,17.56
2026-07-17,HUT,91.45
2026-07-17,CANG,1.80
2026-07-17,ABTC,5.44
2026-07-17,CAN,0.27
2026-07-20,MARA,11.67
2026-07-20,CLSK,14.42
2026-07-20,RIOT,19.90
2026-07-20,IREN,40.20
2026-07-20,BTDR,11.37
2026-07-20,CORZ,22.40
2026-07-20,HIVE,3.09
2026-07-20,WULF,18.86
2026-07-20,CIFR,20.54
2026-07-20,HUT,100.93
2026-07-20,CANG,1.80
2026-07-20,ABTC,5.77
2026-07-20,CAN,0.26
2026-07-21,MARA,12.25
2026-07-21,CLSK,15.38
2026-07-21,RIOT,21.49
2026-07-21,IREN,41.29
2026-07-21,BTDR,12.48
2026-07-21,CORZ,24.01
2026-07-21,HIVE,3.23
2026-07-21,WULF,19.87
2026-07-21,CIFR,22.89
2026-07-21,HUT,108.98
2026-07-21,CANG,1.76
2026-07-21,ABTC,6.47
2026-07-21,CAN,0.28
2026-07-22,MARA,12.41
2026-07-22,CLSK,15.32
2026-07-22,RIOT,23.38
2026-07-22,IREN,41.28
2026-07-22,BTDR,12.26
2026-07-22,CORZ,23.62
2026-07-22,HIVE,3.19
2026-07-22,WULF,19.49
2026-07-22,CIFR,24.46
2026-07-22,HUT,109.86
2026-07-22,CANG,1.94
2026-07-22,ABTC,6.10
2026-07-22,CAN,0.27
2026-07-23,MARA,12.77
2026-07-23,CLSK,15.61
2026-07-23,RIOT,23.86
2026-07-23,IREN,40.58
2026-07-23,BTDR,12.17
2026-07-23,CORZ,23.96
2026-07-23,HIVE,3.18
2026-07-23,WULF,20.05
2026-07-23,CIFR,25.82
2026-07-23,HUT,117.67
2026-07-23,CANG,1.83
2026-07-23,ABTC,6.10
2026-07-23,CAN,0.25
2026-07-24,MARA,12.12
2026-07-24,CLSK,14.52
2026-07-24,RIOT,22.53
2026-07-24,IREN,37.07
2026-07-24,BTDR,11.56
2026-07-24,CORZ,22.75
2026-07-24,HIVE,2.96
2026-07-24,WULF,18.46
2026-07-24,CIFR,23.15
2026-07-24,HUT,109.99
2026-07-24,CANG,1.69
2026-07-24,ABTC,5.72
